occ,y2_hhid,qx_type,interview_status,ag_l0a,ag_l0b,ag_l00b,ag_l0c,ag_l0d,ag_l01a,ag_l01b,ag_l02,ag_l03,ag_l04,ag_l15,ag_l16a,ag_l16b,ag_l17,ag_l18,ag_l19,ag_l20,ag_l21,ag_l22,ag_l23,ag_l24,ag_l25,ag_l26a,ag_l26b,ag_l27,ag_l28,ag_l29,ag_l30,ag_l31,ag_l32,ag_l33,ag_l34,ag_l35,ag_l36a,ag_l36b,ag_l37,ag_l38a,ag_l38b,ag_l39a,ag_l39b,ag_l40,ag_l41,ag_l42a,ag_l42b,ag_l43,ag_l44a,ag_l44b
6,2791-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2791-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2791-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2791-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2791-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2792-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2794-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2796-006,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2797-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2798-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2799-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2799-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2799-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2799-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2799-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2799-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2799-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2799-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2799-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2800-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2801-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2802-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2803-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,100,KILOGRAM,"YES, THE FIGURES MATCHED",,YES,N05,100,KILOGRAM,ON FOOT,0,2000,"PAID IN FULL, WITH OWN-SAVINGS",,,,NO,,,,,,,,,,,,,,,NO,,,,,,NO,,,NO,,
2,2803-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2803-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2803-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2803-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2803-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2803-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2803-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2803-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2804-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2805-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2805-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2806-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2806-006,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2807-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2807-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2808-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2809-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2809-006,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2811-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2811-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2811-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2811-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2811-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2811-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2811-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2811-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2811-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2812-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2813-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2813-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2814-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2815-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,150,KILOGRAM,"YES, THE FIGURES MATCHED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,150,KILOGRAM
2,2815-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2815-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2815-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2815-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2815-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2815-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2815-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2815-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2815-003,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2815-003,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2815-003,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2815-003,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2815-003,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2815-003,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2815-003,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2815-003,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2815-003,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2816-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2817-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2817-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2817-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2817-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2817-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2817-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2817-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2817-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2817-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2818-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2819-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2819-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2819-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2819-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2819-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2819-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2819-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2819-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2819-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2820-001,PANEL B,Panel B - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2820-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2820-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2820-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2820-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2820-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2820-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2820-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2820-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2821-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2822-001,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2823-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2823-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2823-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2823-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2823-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2823-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2823-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2823-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2823-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2824-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2825-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2825-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2825-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2825-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2825-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2825-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2825-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2825-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2825-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2826-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2826-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,CHITOWE,23:21:0+4S/CHITOWE,25,KILOGRAM,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,25,KILOGRAM,N09,,0,NO,,,,,
3,2826-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,UREA,UREA,25,KILOGRAM,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,25,KILOGRAM,N09,,0,NO,,,,,
4,2826-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2826-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2826-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2826-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2826-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2826-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2827-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2827-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
